Paper Name,Year,Authors
Overgeneration and ranking for spoken dialogue systems ,2005,Sebastian Varges
Collective Content Selection for Concept-To-Text Generation ,2005,"Regina Barzilay, Mirella Lapata  "
Automatic Question Generation for Vocabulary Assessment ,2005,"Jonathan C. Brown, Gwen A. Frishkoff, Maxine Eskenazi"
Aggregation improves learning: experiments in natural language generation for intelligent tutoring systems ,2005,"Barbara Di Eugenio, Davide Fossati, Dan Yu, Susan Haller, Michael Glass "
Empirically-based Control of Natural Language Generation ,2005,"Daniel S. Paiva, Roger Evans "
Instance-based Sentence Boundary Determination by Optimization for Natural Language Generation ,2005,"Shimei Pan, James C. Shaw "
Generating readable texts for readers with low basic skills ,2005,"Sandra Williams, Ehud Reiter "
Aggregation via Set Partitioning for Natural Language Generation ,2006,"Regina Barzilay, Mirella Lapata"
A Computational Model of Narrative Generation for Suspense ,2006,"Yun-Gyung Cheong, R. Michael Young "
Information Presentation in Spoken Dialogue Systems ,2006,"Vera Demberg, Johanna D. Moore "
Learning to Generate Naturalistic Utterances Using Reviews in Spoken Dialogue Systems ,2006,"Ryuichiro Higashinaka, Rashmi Prasad, Marilyn A. Walker "
Generating Spatio-Temporal Descriptions in Pollen Forecasts ,2006,"Ross Turner, Somayajulu Sripada, Ehud Reiter, Ian P Davy "
Probabilistic Generation of Weather Forecast Texts ,2007,Anja Belz
Generating Multilingual Descriptions from Linguistically Annotated OWL Ontologies: the NaturalOWL System ,2007,"Dimitrios Galanis, Ion Androutsopoulos 
"
Incremental generation of plural descriptions: Similarity and partitioning ,2007,Albert Gatt and Kees van Deemter 
Generating Politeness in Task Based Interaction: An Evaluation of the Effect of Linguistic Form and Culture ,2007,"Swati Gupta, Marilyn A. Walker, Daniela M. Romano "
Exploiting Multi-Word Units in History-Based Probabilistic Generation ,2007,"Deirdre Hogan, Conor Cafferkey, Aoife Cahill, Josef van Genabith "
A Comparison of Hedged and Non-hedged NLG Texts ,2007,"Saad Mahamood, Ehud Reiter, Chris Mellish "
PERSONAGE: Personality Generation for Dialogue ,2007,"François Mairesse, Marilyn Walker"
